key,NOME_UF,CODIGO_UF,xcoord,ycoord,area_perimeter_area,area_perimeter_perimeter
dfbraslia,df,53.0,-47.7967722516917,-15.7806991625805,0.489327923388601,3.41980537306015
goguafriadegois,go,52.0,-47.7950305146587,-14.9060603176293,0.170378786421225,2.46427677386814
gogualimpa,go,52.0,-48.7912140520466,-18.0776949738976,0.0385265517031712,1.19422916677327
goguaslindasdegois,go,52.0,-48.2862997889853,-15.7554218323788,0.0161332565825205,0.600607016279875
goabadiadegois,go,52.0,-49.4536613540986,-16.784846969721,0.0124810880507766,0.557578297444496
goabadinia,go,52.0,-48.7131097586631,-16.1863317619347,0.0882425288342574,1.7045967958594
goacrena,go,52.0,-50.3256721622759,-17.4516752914274,0.133294495901509,2.19156750106853
goadelndia,go,52.0,-50.1842687127289,-16.3688119511411,0.0098030487575329,0.583977565922709
goalexnia,go,52.0,-48.4818095945543,-16.0885625732559,0.0715340655752357,1.39780506597982
goalondia,go,52.0,-49.4647727273367,-17.6927270148814,0.0086485524451518,0.424981326861609
goaltohorizonte,go,52.0,-49.4285510506407,-14.1709619226722,0.0421602383812001,1.04687646659716
goaltoparasodegois,go,52.0,-47.5347684715596,-14.18263937016,0.216997593212739,3.00931991636948
goalvoradadonorte,go,52.0,-46.631254191472,-14.5660640081771,0.105699435285203,2.51958491225377
goamaralina,go,52.0,-49.5980083880795,-13.8417282905289,0.118233738808215,2.70768465497295
goamericanodobrasil,go,52.0,-50.0011676887662,-16.2605551482494,0.0112789584489406,0.771361096446035
goamorinpolis,go,52.0,-51.1067300287792,-16.6260634725179,0.0345693966997374,1.11560939632535
goanhanguera,go,52.0,-48.2244307469731,-18.3107992156104,0.0047945659334232,0.311578959591044
goanicuns,go,52.0,-49.9675146191026,-16.3978917811832,0.0828747887361487,1.63078308662619
goanpolis,go,52.0,-48.9744554235951,-16.2867858799685,0.0776696357225433,2.04324064717053
goaparecidadegoinia,go,52.0,-49.2657303190916,-16.8116853678837,0.0243524140866498,0.844760346997135
goaparecidadoriodoce,go,52.0,-51.2624809267427,-18.21640718967,0.0514167402184853,1.21320108021923
goapor,go,52.0,-52.0449638650481,-18.767634785676,0.248622894905793,3.0504975346865
goaragaras,go,52.0,-52.1289378548595,-15.9666205344841,0.0601048864286895,1.68204057207052
goaragoinia,go,52.0,-49.4186450882736,-16.9513891398483,0.0185089948332688,0.650082038819579
goaraguapaz,go,52.0,-50.4391715519833,-15.1387862763584,0.184506300823386,2.6650766339241
goarau,go,52.0,-49.7026248473854,-16.3679289988836,0.0129072930309349,0.686059600312246
goarenpolis,go,52.0,-51.5840586463646,-16.3531985665599,0.0909737760081839,2.14334708619668
goaruan,go,52.0,-50.9367312263138,-14.8051060700982,0.255981573379358,3.85359056874829
goaurilndia,go,52.0,-50.5253101504096,-16.694743937523,0.0477070611603381,1.33772125829332
goavelinpolis,go,52.0,-49.7666739224939,-16.4931436824436,0.0138332107460428,0.584508497505702
gobaliza,go,52.0,-52.4375693601052,-16.3595730957513,0.150924643430074,2.25997273025887
gobarroalto,go,52.0,-48.8806736074173,-14.9069230935268,0.0917606343585931,1.89778579978483
gobelavistadegois,go,52.0,-48.9116280604542,-16.9553787972091,0.10653747250052,2.21410362887344
gobomjardimdegois,go,52.0,-52.076270679038,-16.1743427420085,0.156271591222662,2.05427737435797
gobomjesusdegois,go,52.0,-49.8791832976122,-18.1892107381003,0.119857860709942,2.34896218050082
gobonfinpolis,go,52.0,-49.0105850469833,-16.6008032862376,0.0104266363240413,0.559225795536653
gobonpolis,go,52.0,-49.8632595149611,-13.5714400424429,0.13600179771953,2.49985037888398
gobrazabrantes,go,52.0,-49.3775562486019,-16.3878760766805,0.0103920201844971,0.573990416132689
gobritnia,go,52.0,-51.2078726902446,-15.2367179848177,0.122863764653516,2.70796603234839
goburitialegre,go,52.0,-49.0064751606218,-18.1250712318451,0.0766144159585451,1.81809400979479
goburitidegois,go,52.0,-50.4515694512046,-16.1687405068939,0.0167698215988139,0.712714183853819
goburitinpolis,go,52.0,-46.2958760748908,-14.4061333849397,0.0209071745695724,0.904730317999128
gocabeceiras,go,52.0,-46.9920230434015,-15.7593870193504,0.0948300394276771,1.58494267209559
gocachoeiraalta,go,52.0,-50.9814834894793,-18.5424247239655,0.141593136368101,2.38429546498216
gocachoeiradourada,go,52.0,-49.6219311786379,-18.491519205535,0.0445120600170412,1.28951958907296
gocachoeiradegois,go,52.0,-50.6973802213965,-16.7190980632068,0.0353026973902502,0.869096181448948
gocaiapnia,go,52.0,-51.8152169444818,-17.0070592208429,0.734083766471201,6.1098121272439
gocaldasnovas,go,52.0,-48.6454580117503,-17.7086933599586,0.135350115263407,2.3429306245807
gocaldazinha,go,52.0,-48.972107290754,-16.7417788342894,0.0212024739733465,0.879124890020865
gocampestredegois,go,52.0,-49.6995627200997,-16.787002680055,0.0231667144490189,0.780025384984096
gocampinau,go,52.0,-48.5676378536533,-13.884504153183,0.165105209941999,2.10065327879736
gocampinorte,go,52.0,-48.9748897960153,-14.0445528972163,0.089354872121362,2.4186187680931
gocampoalegredegois,go,52.0,-47.7679023027084,-17.5508501877704,0.20961446978481,2.71069693067652
gocampolimpodegois,go,52.0,-49.1029665788776,-16.2882612174538,0.0132235264886162,0.530966650906442
gocamposbelos,go,52.0,-46.5144276897858,-12.99985964154,0.0603791808019309,2.13107584892666
gocamposverdes,go,52.0,-49.660111956575,-14.1994252477411,0.0369219053437746,1.10905691736276
gocarmodorioverde,go,52.0,-49.7435462338288,-15.4250444227406,0.0351684202586284,1.09545927864552
gocastelndia,go,52.0,-50.3389183958783,-18.1550340730969,0.0253285770456841,1.21692787916841
gocatalo,go,52.0,-47.6641571995398,-17.9306120226831,0.325441555651594,5.14710693710812
gocatura,go,52.0,-49.5839617958209,-16.4539591505014,0.0175318960963295,0.717822976526994
gocavalcante,go,52.0,-47.6956833838109,-13.6347231168707,0.580876899154703,5.02668218886508
gocau,go,52.0,-51.1305238555921,-18.7004223330002,0.192862822985091,3.23763050899772
goceres,go,52.0,-49.6373901060919,-15.2760047084923,0.0180155506099595,0.751458780965512
gocezarina,go,52.0,-49.7560537585517,-17.0860094646391,0.0352837929102066,1.45069704650523
gochapadodocu,go,52.0,-52.6330783662172,-18.4641954838587,0.186970285480356,2.35528634623141
gocidadeocidental,go,52.0,-47.8188296121679,-16.1245426123937,0.0328756353280824,0.881643701971943
gococalzinhodegois,go,52.0,-48.6026211131424,-15.6550039661698,0.150808863286272,2.62827794965025
gocolinasdosul,go,52.0,-48.0745520845044,-13.984659292944,0.142943694962185,2.58069589586155
gocorumbaba,go,52.0,-48.5326063914895,-18.1683237024109,0.160703264952701,2.71111424313001
gocorumbdegois,go,52.0,-48.6788397466407,-15.9299081922147,0.08972149662128,1.94199755040475
gocristalina,go,52.0,-47.517578565253,-16.6983930555027,0.522045110946522,5.4851463743089
gocristianpolis,go,52.0,-48.7072077938343,-17.2134231188306,0.019215151922765,0.871588729471008
gocrixs,go,52.0,-50.0649352567,-14.6393445751573,0.390943690277879,4.25675245270875
gocromnia,go,52.0,-49.3568152128831,-17.2409921691113,0.0309666859769777,0.978943606965111
gocumari,go,52.0,-48.1333529925261,-18.31877197054,0.0495230693655344,1.64387733803875
gocrregodoouro,go,52.0,-50.5790524082519,-16.3659711548245,0.0391503614787325,1.19090579067751
godamianpolis,go,52.0,-46.1906352161254,-14.5556169840062,0.03474228081609,0.950582081295722
godamolndia,go,52.0,-49.3330462160306,-16.2561054268401,0.0070636369026146,0.508252362872828
godavinpolis,go,52.0,-47.5653655012514,-18.1172331516035,0.041080975533589,1.23908693394119
godiorama,go,52.0,-51.3492510764469,-16.2227904531198,0.0579909610700611,1.82993011849991
godivinpolisdegois,go,52.0,-46.5183867538226,-13.2637938273167,0.0692408516204637,1.26974459582029
godoverlndia,go,52.0,-52.493371200768,-16.8023844074968,0.27191066103228,3.60934350892934
goedealina,go,52.0,-49.7413359645569,-17.4215075997445,0.0514653221042067,1.73941009040138
goedia,go,52.0,-49.9639156057995,-17.4763999892934,0.124352631949421,2.40580090131982
goestreladonorte,go,52.0,-49.0857706548578,-13.8135300307411,0.0252657036999722,0.928964660316325
gofaina,go,52.0,-50.3702541531645,-15.4350884790485,0.163610042432026,2.55782550753303
gofazendanova,go,52.0,-50.8552469816905,-16.1516850131733,0.108228250183117,2.29632650160743
gofirminpolis,go,52.0,-50.3126922918297,-16.639270792329,0.0360289187188982,1.22545490451624
gofloresdegois,go,52.0,-46.904229123839,-14.6513595276215,0.311265093437726,3.64538367567516
goformosa,go,52.0,-47.2470085783019,-15.3068900263191,0.488605116805275,5.74007892263828
goformoso,go,52.0,-48.8671472899026,-13.72264037921,0.0706395467103107,1.44091261187472
gogameleiradegois,go,52.0,-48.675158587283,-16.4025475992936,0.0503699680543264,1.37676406396602
gogoiandira,go,52.0,-48.1386234142457,-18.1208871109265,0.0478531716179305,1.23082533856526
gogoianira,go,52.0,-49.4318295601471,-16.4955218043249,0.0169288394288856,1.00427088796913
gogoiansia,go,52.0,-49.166874601756,-15.2746826316376,0.130218370413502,2.30718437190004
gogoianpolis,go,52.0,-49.0680497794404,-16.5137847146666,0.013750951673444,0.711196027995199
gogoiatuba,go,52.0,-49.6592020045867,-17.9934733234055,0.211146190269972,3.58830173768419
gogoinia,go,52.0,-49.2749201011104,-16.6420775918031,0.0625425766521062,1.61589118823617
gogois,go,52.0,-50.2425777102119,-15.8464579277996,0.262308072458495,3.10639140255426
gogouvelndia,go,52.0,-50.1552540979878,-18.5086246818202,0.0706142776018055,1.3174107993429
goguap,go,52.0,-49.572308824079,-16.9110211795294,0.0438621169366797,1.19206803978593
goguaranidegois,go,52.0,-46.4317104558689,-13.8896097406443,0.102690166789216,1.99272867025968
goguarata,go,52.0,-50.0498303068934,-15.6720078516921,0.017295748273682,0.695291067572948
goguarinos,go,52.0,-49.7306048255533,-14.6992669930585,0.0500596559098767,1.73768299073698
goheitora,go,52.0,-49.7846517292805,-15.7429574529217,0.0193156751178662,0.887612881020335
gohidrolina,go,52.0,-49.3625407414023,-14.739314187646,0.0486636141928329,1.17929686316965
gohidrolndia,go,52.0,-49.2657360565594,-17.0125687395444,0.0801304664410623,1.70392196462736
goiaciara,go,52.0,-46.7415184547103,-14.0902959489486,0.136167502424712,2.26869553582542
goinaciolndia,go,52.0,-49.916162285649,-18.5085642373371,0.0588814623884559,1.12242577799264
goindiara,go,52.0,-49.967849345613,-17.1846697504624,0.0813100137340825,1.9753152407017
goinhumas,go,52.0,-49.515326495935,-16.3070194921331,0.0519005050885539,1.14247605994483
goipameri,go,52.0,-48.0543765973684,-17.5054938771452,0.371423360614756,5.24368778964904
goipirangadegois,go,52.0,-49.6695272686736,-15.168925546858,0.0202385154549916,0.706208677253697
goipor,go,52.0,-51.1803356740709,-16.4154031396622,0.0868297594932983,1.82975035482705
goisraelndia,go,52.0,-50.8798177753044,-16.3571735438333,0.0488490182163446,1.32151912604411
goitabera,go,52.0,-49.822026223413,-16.0798196862166,0.124470391311547,2.30977315532482
goitaguari,go,52.0,-49.6221080623055,-15.9338554230148,0.0113901586328211,0.514032059212085
goitaguaru,go,52.0,-49.6123644421612,-15.7726302645497,0.0202310526221368,0.772258636077203
goitaj,go,52.0,-51.3196542720775,-19.1004591201036,0.179410897628884,3.53174913832865
goitapaci,go,52.0,-49.6476059458154,-14.9421940753517,0.0802107321434278,2.04403157844992
goitapirapu,go,52.0,-50.7706787871327,-15.7023903646107,0.172189553894839,2.56656504590788
goitapuranga,go,52.0,-49.9502857842827,-15.5469983009143,0.107592241536679,1.99963058006053
goitarum,go,52.0,-51.3303716305724,-18.8434878916576,0.294270349280168,4.28356295346905
goitauu,go,52.0,-49.6094394388756,-16.1955967216249,0.0324835504401335,1.12906563849036
goitumbiara,go,52.0,-49.4180829225852,-18.3527513693813,0.210585810772955,3.6653862019357
goivolndia,go,52.0,-51.0334734711507,-16.6753983234629,0.106745017912317,3.2655096337517
